task_size,current_edge_queue_time,current_leo_latency,chosen_node,total_experienced_latency
17.376319326610364,0.0,199.8898454203207,edge,1.7476319326610366
35.45147693403101,0.0,198.76259043353335,edge,3.5551476934031
23.98648188583717,2.75,197.8045025914701,edge,4.192979384098569
27.740987964651307,5.5,197.52881625385393,edge,6.535895395681538
9.173562952106657,11.0,188.02635864260952,leo,0.3714976176847422
34.244799700078545,8.25,197.2453222038185,edge,9.541072775277403
32.1676714115101,11.0,186.8620348747335,leo,0.8302154631049348
31.51695577441589,8.25,195.54508574578693,edge,10.531446486596902
41.26186633247635,8.25,194.11319726959888,edge,13.138136840810354
11.99657749153017,8.25,191.31689744459518,edge,11.817043040409395
29.130264115461532,5.5,180.93196446878375,edge,7.722593836727739
29.841828407295214,8.25,176.10745502349758,edge,8.071173545832199
43.77681051398498,5.5,169.31428682553025,edge,9.09329534013796
7.0620972645048,5.5,161.2643291893125,edge,6.1857895579436715
8.590638961563236,5.5,155.6241646142036,edge,4.676689563293671
17.508812139954145,8.25,151.15905528117577,edge,4.6245664890598945
21.65814352025972,5.5,144.50592683291944,edge,4.195884304175607
47.14945644706223,2.75,138.41246071059865,edge,6.609896482734484
12.701239168914364,2.75,129.34674893736997,edge,4.552627382624955
22.07549487909415,5.5,123.81689841744402,edge,4.769969389248587
30.06273846985908,2.75,114.20041016631717,edge,4.356243956672216
39.91999601958101,2.75,102.81910442775093,edge,4.319687798060883
19.195387162658687,2.75,98.33097329805369,edge,4.64292578261464
47.43093714507745,5.5,92.38177089334299,edge,7.253070966363403
34.4947399382696,5.5,85.6636927889616,edge,8.258511317794927
25.648333366432947,5.5,74.36220024700015,edge,6.579701885216586
30.261566037341787,5.5,68.63973884078851,edge,7.365975965868813
22.172867892794155,11.0,46.860696491809094,leo,0.49031805434768216
45.40202976211146,5.5,60.69909169711397,edge,8.652420971409342
37.43248187120876,11.0,38.24537654481488,leo,0.7868950139690014
49.88919229227996,5.5,55.71163731405798,edge,11.483377923165477
7.120236894113056,8.25,51.800150039705656,edge,10.4226733760554
40.643571396333385,8.25,50.35446906676306,edge,13.810562890666887
48.69852699261282,8.25,40.94653704217866,edge,13.90248943617489
13.039334623855911,11.0,23.055982180654308,leo,0.2838426746577625
17.007133547864427,8.25,33.28687610383021,edge,10.957848733906488
24.564436280109724,8.25,30.703070801222008,edge,11.579635841129829
44.41338231701873,8.25,25.631946717188583,edge,11.65952629026846
18.43001561518848,5.5,20.784976081325198,edge,6.389213803126111
11.877767084733566,5.5,20.03441030688659,edge,4.250079877284946
40.03819153837512,2.75,20.22233758958616,edge,5.135761940763587
19.58702256521029,2.75,20.620391064116646,edge,5.592748508900797
44.54248450204329,5.5,20.936956728827568,edge,9.18953778934636
7.60663249223844,8.25,22.179604825591777,edge,7.527658662362214
8.854405343054545,5.5,25.67138751035031,edge,4.072250860773693
39.22709743657542,8.25,27.478741005345924,edge,6.287323049026071
26.38770701444291,5.5,29.749518939867396,edge,7.040919356971074
44.25948684883659,5.5,32.893152319362365,edge,9.171698155034562
29.268323995075626,5.5,36.17816016535203,edge,9.963135938215885
19.027233108540273,8.25,39.73880070694695,edge,9.762406058900808
24.714503776152682,8.25,46.23440841928431,edge,8.784222263597712
15.111380166420082,8.25,50.05879964095139,edge,8.43234769263492
15.355162966845965,8.25,57.24780833979168,edge,6.7029378339478
33.39963307715445,8.25,61.24641534777308,edge,8.329921883636132
9.36188664029705,11.0,91.25960241889221,leo,0.27849733522484144
43.683593011418594,5.5,71.66477720286761,edge,8.482021145759603
35.10400002333263,8.25,72.80119037492753,edge,11.549618367471453
20.26861724277334,11.0,110.43962500603347,leo,0.5158119698614883
47.0981408261302,8.25,77.74822474751511,edge,14.362496903909374
13.559400879836518,11.0,116.7835151681892,leo,0.38797153276490803
40.3078740930839,8.25,85.5754051695225,edge,15.475271234282388
26.016110061650373,8.25,98.98323495342022,edge,13.234916628302017
49.287434511468476,8.25,108.90839259088538,edge,14.643566437568978
17.53453151001232,8.25,124.54555323540083,edge,10.843832898044752
24.940883527405564,5.5,136.29304490856572,edge,9.068124452957278
7.276474828619656,8.25,144.67091943731515,edge,6.644795998469675
